riskFrequency,pvalueDescription,pvalueMantissa,pvalueExponent,multiSnpHaplotype,snpInteraction,snpType,standardError,range,description,orPerCopyNum,betaNum,betaUnit,betaDirection,loci,lastMappingDate,lastUpdateDate,pvalue,associationId,haplotypeSnpCount,description,strongestRiskAlleles,authorReportedGenes,riskAlleleName,riskFrequency,genomeWide,limitedList
0.04,(less than),1,-200,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4349859-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'HLA-B', 'entrezGeneIds': [{'entrezGeneId': '3106'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000234745'}]}]}",2024-02-16T18:59:32.000+0000,2024-02-16T18:59:33.000+0000,1e-200,18613,,Single variant,"[{'riskAlleleName': 'rs4349859-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'HLA-B', 'entrezGeneIds': [{'entrezGeneId': '3106'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000234745'}]}]",rs4349859-A,,,
0.48,,2,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs378108-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T19:34:00.000+0000,2024-02-16T19:34:00.000+0000,2e-11,18614,,Single variant,"[{'riskAlleleName': 'rs378108-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs378108-G,,,
0.47,,9,-11,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11249215-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'RUNX3', 'entrezGeneIds': [{'entrezGeneId': '864'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000020633'}]}]}",2024-02-16T19:34:03.000+0000,2024-02-16T19:34:03.000+0000,9e-11,18615,,Single variant,"[{'riskAlleleName': 'rs11249215-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'RUNX3', 'entrezGeneIds': [{'entrezGeneId': '864'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000020633'}]}]",rs11249215-A,,,
0.68,,5,-12,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2297909-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'KIF21B\r', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T19:33:33.000+0000,2024-02-16T19:33:33.000+0000,5e-12,18610,,Single variant,"[{'riskAlleleName': 'rs2297909-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'KIF21B\r', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs2297909-G,,,
0.37,,7,-34,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10865331-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T19:33:35.000+0000,2024-02-16T19:33:35.000+0000,7e-34,18611,,Single variant,"[{'riskAlleleName': 'rs10865331-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs10865331-A,,,
0.33,,2,-27,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs30187-T', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}]}",2024-02-16T19:33:37.000+0000,2024-02-16T19:33:38.000+0000,2e-27,18612,,Single variant,"[{'riskAlleleName': 'rs30187-T', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}]",rs30187-T,,,
0.67,,2,-8,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs6556416-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'IL12B', 'entrezGeneIds': [{'entrezGeneId': '3593'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000113302'}]}]}",2024-02-16T19:28:03.000+0000,2024-02-16T19:28:03.000+0000,2e-08,18616,,Single variant,"[{'riskAlleleName': 'rs6556416-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'IL12B', 'entrezGeneIds': [{'entrezGeneId': '3593'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000113302'}]}]",rs6556416-C,,,
0.43,,4,-12,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11616188-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'LTBR-TNFRSF1A', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T19:28:07.000+0000,2024-02-16T19:28:08.000+0000,4e-12,18617,,Single variant,"[{'riskAlleleName': 'rs11616188-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'LTBR-TNFRSF1A', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs11616188-A,,,
0.63,,9,-8,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4389526-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'ANTXR2', 'entrezGeneIds': [{'entrezGeneId': '118429'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000163297'}]}]}",2024-02-16T19:28:11.000+0000,2024-02-16T19:28:11.000+0000,9e-08,18618,,Single variant,"[{'riskAlleleName': 'rs4389526-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'ANTXR2', 'entrezGeneIds': [{'entrezGeneId': '118429'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000163297'}]}]",rs4389526-A,,,
0.60,,3,-7,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10440635-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'PTGER4', 'entrezGeneIds': [{'entrezGeneId': '5734'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000171522'}]}]}",2024-02-16T19:28:14.000+0000,2024-02-16T19:28:14.000+0000,3e-07,18619,,Single variant,"[{'riskAlleleName': 'rs10440635-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'PTGER4', 'entrezGeneIds': [{'entrezGeneId': '5734'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000171522'}]}]",rs10440635-A,,,
0.42,,1,-6,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10781500-T', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'CARD9', 'entrezGeneIds': [{'entrezGeneId': '64170'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187796'}]}]}",2024-02-16T19:28:17.000+0000,2024-02-16T19:28:18.000+0000,1e-06,18620,,Single variant,"[{'riskAlleleName': 'rs10781500-T', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'CARD9', 'entrezGeneIds': [{'entrezGeneId': '64170'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187796'}]}]",rs10781500-T,,,
0.51,,5,-8,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs8070463-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'TBKBP1', 'entrezGeneIds': [{'entrezGeneId': '9755'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000198933'}]}]}",2024-02-16T19:28:20.000+0000,2024-02-16T19:28:20.000+0000,5e-08,18621,,Single variant,"[{'riskAlleleName': 'rs8070463-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'TBKBP1', 'entrezGeneIds': [{'entrezGeneId': '9755'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000198933'}]}]",rs8070463-C,,,
0.28,,9,-10,False,False,novel,,[1.14-1.29],,1.21,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4552569-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'HAPLN1', 'entrezGeneIds': [{'entrezGeneId': '1404'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000145681'}]}, {'geneName': 'EDIL3', 'entrezGeneIds': [{'entrezGeneId': '10085'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164176'}]}]}",2024-02-16T18:46:35.000+0000,2024-02-16T18:46:35.000+0000,9e-10,19891,,Single variant,"[{'riskAlleleName': 'rs4552569-C', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'HAPLN1', 'entrezGeneIds': [{'entrezGeneId': '1404'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000145681'}]}, {'geneName': 'EDIL3', 'entrezGeneIds': [{'entrezGeneId': '10085'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164176'}]}]",rs4552569-C,,,
0.10,,2,-8,False,False,novel,,[1.18-1.41],,1.29,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs17095830-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'ANO6', 'entrezGeneIds': [{'entrezGeneId': '196527'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000177119'}]}]}",2024-02-16T18:46:38.000+0000,2024-02-16T18:46:38.000+0000,2e-08,19892,,Single variant,"[{'riskAlleleName': 'rs17095830-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'ANO6', 'entrezGeneIds': [{'entrezGeneId': '196527'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000177119'}]}]",rs17095830-G,,,
NR,,9,-6,False,False,novel,,[1.08-1.20],,1.14,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12146962-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T18:46:40.000+0000,2024-02-16T18:46:40.000+0000,9e-06,19894,,Single variant,"[{'riskAlleleName': 'rs12146962-?', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs12146962-?,,,
0.45,,9,-6,False,False,novel,,[1.07-1.20],,1.14,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2075726-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T18:46:43.000+0000,2024-02-16T18:46:43.000+0000,9e-06,19895,,Single variant,"[{'riskAlleleName': 'rs2075726-G', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'NR', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs2075726-G,,,
0.46,,9,-7,False,False,novel,,[1.09-1.22],,1.15,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs13210693-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-16T19:20:38.000+0000,2024-02-16T19:20:38.000+0000,9e-07,19893,,Single variant,"[{'riskAlleleName': 'rs13210693-A', 'riskFrequency': None, 'genomeWide': None, 'limitedList': None}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs13210693-A,,,
0.44,"(conditioned on rs30187, EA)",5,-17,False,False,novel,,,,1.17,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2910686-C', 'riskFrequency': '0.44', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ERAP2', 'entrezGeneIds': [{'entrezGeneId': '64167'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164308'}]}, {'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}, {'geneName': 'LNPEP', 'entrezGeneIds': [{'entrezGeneId': '4012'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000113441'}]}]}",2024-02-17T08:43:00.000+0000,2024-02-17T08:43:00.000+0000,5.0000000000000005e-17,24913874,,Single variant,"[{'riskAlleleName': 'rs2910686-C', 'riskFrequency': '0.44', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ERAP2', 'entrezGeneIds': [{'entrezGeneId': '64167'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164308'}]}, {'geneName': 'ERAP1', 'entrezGeneIds': [{'entrezGeneId': '51752'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000164307'}]}, {'geneName': 'LNPEP', 'entrezGeneIds': [{'entrezGeneId': '4012'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000113441'}]}]",rs2910686-C,0.44,False,False
0.341,"(conditioned on rs1860545, EA)",1,-7,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7954567-A', 'riskFrequency': '0.341', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'LTBR', 'entrezGeneIds': [{'entrezGeneId': '4055'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000111321'}]}, {'geneName': 'TNFRSF1A', 'entrezGeneIds': [{'entrezGeneId': '7132'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000067182'}]}]}",2024-02-17T08:43:06.000+0000,2024-02-17T08:43:06.000+0000,1e-07,24913886,,Single variant,"[{'riskAlleleName': 'rs7954567-A', 'riskFrequency': '0.341', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'LTBR', 'entrezGeneIds': [{'entrezGeneId': '4055'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000111321'}]}, {'geneName': 'TNFRSF1A', 'entrezGeneIds': [{'entrezGeneId': '7132'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000067182'}]}]",rs7954567-A,0.341,False,False
0.675,"(conditioned on rs6871626, EA)",4,-6,False,False,novel,,,,1.11,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs6556416-C', 'riskFrequency': '0.675', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL12B', 'entrezGeneIds': [{'entrezGeneId': '3593'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000113302'}]}]}",2024-02-17T08:43:03.000+0000,2024-02-17T08:43:03.000+0000,4e-06,24913880,,Single variant,"[{'riskAlleleName': 'rs6556416-C', 'riskFrequency': '0.675', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL12B', 'entrezGeneIds': [{'entrezGeneId': '3593'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000113302'}]}]",rs6556416-C,0.675,False,False
0.19,"(conditioned on rs2531875, EA)",6,-7,False,False,novel,,,,1.13,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2297518-A', 'riskFrequency': '0.19', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NOS2', 'entrezGeneIds': [{'entrezGeneId': '4843'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000007171'}]}]}",2024-02-17T08:43:09.000+0000,2024-02-17T08:43:09.000+0000,6e-07,24913892,,Single variant,"[{'riskAlleleName': 'rs2297518-A', 'riskFrequency': '0.19', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NOS2', 'entrezGeneIds': [{'entrezGeneId': '4843'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000007171'}]}]",rs2297518-A,0.19,False,False
0.374,(Asian),2,-6,False,False,known,,,,1.28,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs6759298-C', 'riskFrequency': '0.374', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'Intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T08:43:11.000+0000,2024-02-17T08:43:11.000+0000,2e-06,24913898,,Single variant,"[{'riskAlleleName': 'rs6759298-C', 'riskFrequency': '0.374', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'Intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs6759298-C,0.374,False,False
